channel,r,codec,density_ebpg,alphabet_ceiling_ebpg,alphabet_ceiling_pct,n_trials_success
hifi,0.0200,dna_aeon,107.6580,225.1411,47.8180,30.0000
hifi,0.0200,mahoraga,153.2490,225.1411,68.0680,30.0000
hifi,0.0200,mgcplus,,225.1411,,0.0000
hifi,0.0500,dna_aeon,,221.8086,,0.0000
hifi,0.0500,mahoraga,150.9760,221.8086,68.0659,30.0000
hifi,0.0500,mgcplus,,221.8086,,0.0000
hifi,0.1000,dna_aeon,,216.3997,,0.0000
hifi,0.1000,mahoraga,147.2960,216.3997,68.0666,30.0000
hifi,0.1000,mgcplus,,216.3997,,0.0000
hifi,0.2000,dna_aeon,,206.1031,,0.0000
hifi,0.2000,mahoraga,140.2890,206.1031,68.0674,30.0000
hifi,0.2000,mgcplus,,206.1031,,0.0000
hifi,0.3000,dna_aeon,,196.4598,,0.0000
hifi,0.3000,mahoraga,133.7250,196.4598,68.0674,30.0000
hifi,0.3000,mgcplus,,196.4598,,0.0000
hifi,0.5000,dna_aeon,85.6250,178.9499,,27.0000
hifi,0.5000,mahoraga,121.7840,178.9499,68.0548,30.0000
hifi,0.5000,mgcplus,77.9840,178.9499,,29.0000
hifi,1.0000,dna_aeon,66.3250,143.7442,46.1410,30.0000
hifi,1.0000,mahoraga,97.7820,143.7442,68.0250,30.0000
hifi,1.0000,mgcplus,59.8640,143.7442,41.6462,30.0000
hifi,2.0000,dna_aeon,47.4640,98.3124,,25.0000
hifi,2.0000,mahoraga,66.8790,98.3124,68.0270,30.0000
hifi,2.0000,mgcplus,42.8270,98.3124,,16.0000
hifi,5.0000,dna_aeon,21.5460,45.1736,47.6960,30.0000
hifi,5.0000,mahoraga,30.7160,45.1736,67.9955,30.0000
hifi,5.0000,mgcplus,19.4600,45.1736,43.0783,30.0000
hifi,10.0000,dna_aeon,10.9780,22.7390,48.2784,30.0000
hifi,10.0000,mahoraga,15.4650,22.7390,68.0110,30.0000
hifi,10.0000,mgcplus,9.9070,22.7390,43.5684,30.0000
lofi,0.0200,mahoraga,116.0970,225.1411,51.5663,30.0000
lofi,0.0200,mgcplus,,225.1411,,0.0000
lofi,0.0500,dna_aeon,,221.8086,,0.0000
lofi,0.0500,mahoraga,114.3790,221.8086,51.5665,30.0000
lofi,0.0500,mgcplus,,221.8086,,0.0000
lofi,0.1000,dna_aeon,,216.3997,,0.0000
lofi,0.1000,mahoraga,111.5880,216.3997,51.5657,30.0000
lofi,0.1000,mgcplus,,216.3997,,0.0000
lofi,0.2000,dna_aeon,,206.1031,,0.0000
lofi,0.2000,mahoraga,106.2720,206.1031,51.5625,30.0000
lofi,0.2000,mgcplus,97.8800,206.1031,,2.0000
lofi,0.3000,dna_aeon,,196.4598,,0.0000
lofi,0.3000,mahoraga,101.2920,196.4598,51.5586,30.0000
lofi,0.3000,mgcplus,89.9680,196.4598,,7.0000
lofi,0.5000,dna_aeon,64.8810,178.9499,36.2565,30.0000
lofi,0.5000,mahoraga,92.2500,178.9499,51.5508,30.0000
lofi,0.5000,mgcplus,59.0920,178.9499,33.0215,30.0000
lofi,1.0000,dna_aeon,61.7000,143.7442,,25.0000
lofi,1.0000,mahoraga,74.1210,143.7442,51.5645,30.0000
lofi,1.0000,mgcplus,56.1920,143.7442,39.0917,30.0000
lofi,2.0000,dna_aeon,,98.3124,,0.0000
lofi,2.0000,mahoraga,50.6790,98.3124,51.5490,30.0000
lofi,2.0000,mgcplus,40.9590,98.3124,41.6621,30.0000
lofi,5.0000,dna_aeon,,45.1736,,0.0000
lofi,5.0000,mahoraga,23.2710,45.1736,51.5146,30.0000
lofi,5.0000,mgcplus,19.1670,45.1736,42.4297,30.0000
lofi,10.0000,dna_aeon,,22.7390,,0.0000
lofi,10.0000,mahoraga,11.7210,22.7390,51.5459,30.0000
lofi,10.0000,mgcplus,9.7880,22.7390,43.0451,30.0000
