channel,r,codec,density_ebpg,rho_max_alphabet,fraction_alphabet_pct,rho_max_shomorony,fraction_shomorony_pct,rho_max_lenz,fraction_lenz_pct,n_trials_success
hifi,0.0200,dna_aeon,107.6580,225.1411,47.8180,221.8118,48.5358,93.3891,115.2790,30.0000
hifi,0.0200,mahoraga,153.2490,225.1411,68.0680,221.8118,69.0897,93.6661,163.6121,30.0000
hifi,0.0200,mgcplus,,225.1411,,221.8118,,,,0.0000
hifi,0.0500,dna_aeon,,221.8086,,218.5285,,159.5681,,0.0000
hifi,0.0500,mahoraga,150.9760,221.8086,68.0659,218.5285,69.0875,159.8702,94.4366,30.0000
hifi,0.0500,mgcplus,,221.8086,,218.5285,,159.5690,,0.0000
hifi,0.1000,dna_aeon,,216.3997,,213.1996,,192.6338,,0.0000
hifi,0.1000,mahoraga,147.2960,216.3997,68.0666,213.1996,69.0883,192.8744,76.3689,30.0000
hifi,0.1000,mgcplus,,216.3997,,213.1996,,192.6349,,0.0000
hifi,0.2000,dna_aeon,,206.1031,,203.0553,,195.0341,,0.0000
hifi,0.2000,mahoraga,140.2890,206.1031,68.0674,203.0553,69.0890,195.3709,71.8065,30.0000
hifi,0.2000,mgcplus,,206.1031,,203.0553,,195.0352,,0.0000
hifi,0.3000,dna_aeon,,196.4598,,193.5546,,187.0328,,0.0000
hifi,0.3000,mahoraga,133.7250,196.4598,68.0674,193.5546,69.0890,187.4519,71.3383,30.0000
hifi,0.3000,mgcplus,,196.4598,,193.5546,,187.0339,,0.0000
hifi,0.5000,dna_aeon,85.6250,178.9499,,176.3036,,170.7664,,27.0000
hifi,0.5000,mahoraga,121.7840,178.9499,68.0548,176.3036,69.0763,171.2571,71.1118,30.0000
hifi,0.5000,mgcplus,77.9840,178.9499,,176.3036,,170.7674,,29.0000
hifi,1.0000,dna_aeon,66.3250,143.7442,46.1410,141.6186,46.8335,137.5249,48.2276,30.0000
hifi,1.0000,mahoraga,97.7820,143.7442,68.0250,141.6186,69.0460,137.9561,70.8791,30.0000
hifi,1.0000,mgcplus,59.8640,143.7442,41.6462,141.6186,42.2713,137.5258,43.5293,30.0000
hifi,2.0000,dna_aeon,47.4640,98.3124,,96.8586,,94.2606,,25.0000
hifi,2.0000,mahoraga,66.8790,98.3124,68.0270,96.8586,69.0481,94.5300,70.7490,30.0000
hifi,2.0000,mgcplus,42.8270,98.3124,,96.8586,,94.2610,,16.0000
hifi,5.0000,dna_aeon,21.5460,45.1736,47.6960,44.5055,48.4119,43.3445,49.7087,30.0000
hifi,5.0000,mahoraga,30.7160,45.1736,67.9955,44.5055,69.0161,43.4713,70.6581,30.0000
hifi,5.0000,mgcplus,19.4600,45.1736,43.0783,44.5055,43.7249,43.3449,44.8957,30.0000
hifi,10.0000,dna_aeon,10.9780,22.7390,48.2784,22.4027,49.0030,21.8207,50.3100,30.0000
hifi,10.0000,mahoraga,15.4650,22.7390,68.0110,22.4027,69.0318,21.8830,70.6712,30.0000
hifi,10.0000,mgcplus,9.9070,22.7390,43.5684,22.4027,44.2223,21.8208,45.4015,30.0000
lofi,0.0200,mahoraga,116.0970,225.1411,51.5663,208.4983,55.6825,89.2820,130.0341,30.0000
lofi,0.0200,mgcplus,,225.1411,,208.4983,,,,0.0000
lofi,0.0500,dna_aeon,,221.8086,,205.4121,,154.6382,,0.0000
lofi,0.0500,mahoraga,114.3790,221.8086,51.5665,205.4121,55.6827,154.7984,73.8890,30.0000
lofi,0.0500,mgcplus,,221.8086,,205.4121,,,,0.0000
lofi,0.1000,dna_aeon,,216.3997,,200.4031,,189.8267,,0.0000
lofi,0.1000,mahoraga,111.5880,216.3997,51.5657,200.4031,55.6818,189.8577,58.7745,30.0000
lofi,0.1000,mgcplus,,216.3997,,200.4031,,189.8278,,0.0000
lofi,0.2000,dna_aeon,,206.1031,,190.8677,,194.4104,,0.0000
lofi,0.2000,mahoraga,106.2720,206.1031,51.5625,190.8677,55.6784,194.5462,54.6256,30.0000
lofi,0.2000,mgcplus,97.8800,206.1031,,190.8677,,194.4117,,2.0000
lofi,0.3000,dna_aeon,,196.4598,,181.9372,,186.8834,,0.0000
lofi,0.3000,mahoraga,101.2920,196.4598,51.5586,181.9372,55.6742,187.0540,54.1512,30.0000
lofi,0.3000,mgcplus,89.9680,196.4598,,181.9372,,186.8845,,7.0000
lofi,0.5000,dna_aeon,64.8810,178.9499,36.2565,165.7216,39.1506,170.4788,38.0581,30.0000
lofi,0.5000,mahoraga,92.2500,178.9499,51.5508,165.7216,55.6656,170.9692,53.9571,30.0000
lofi,0.5000,mgcplus,59.0920,178.9499,33.0215,165.7216,35.6574,170.4799,34.6622,30.0000
lofi,1.0000,dna_aeon,61.7000,143.7442,,133.1184,,137.4729,,25.0000
lofi,1.0000,mahoraga,74.1210,143.7442,51.5645,133.1184,55.6805,137.7281,53.8169,30.0000
lofi,1.0000,mgcplus,56.1920,143.7442,39.0917,133.1184,42.2120,137.4737,40.8747,30.0000
lofi,2.0000,dna_aeon,,98.3124,,91.0450,,94.2351,,0.0000
lofi,2.0000,mahoraga,50.6790,98.3124,51.5490,91.0450,55.6637,94.3739,53.7002,30.0000
lofi,2.0000,mgcplus,40.9590,98.3124,41.6621,91.0450,44.9877,94.2359,43.4643,30.0000
lofi,5.0000,dna_aeon,,45.1736,,41.8343,,43.3406,,0.0000
lofi,5.0000,mahoraga,23.2710,45.1736,51.5146,41.8343,55.6267,43.3995,53.6204,30.0000
lofi,5.0000,mgcplus,19.1670,45.1736,42.4297,41.8343,45.8165,43.3410,44.2237,30.0000
lofi,10.0000,dna_aeon,,22.7390,,21.0581,,21.8192,,0.0000
lofi,10.0000,mahoraga,11.7210,22.7390,51.5459,21.0581,55.6604,21.8469,53.6505,30.0000
lofi,10.0000,mgcplus,9.7880,22.7390,43.0451,21.0581,46.4810,21.8193,44.8594,30.0000
